screen_accession	screen_row_id	MORF_id	reason	detail	source_transcript_ids	log2FoldChange
IGVFFI6734IWRB	NCOA3_3	NCOA3_3	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_006534.3
IGVFFI6734IWRB	NCOA6_2	NCOA6_2	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_014071,NM_001318240,ENST00000374796,ENST00000359003
IGVFFI6734IWRB	NCOR1_1	NCOR1_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_006311,ENST00000268712
IGVFFI6734IWRB	NCOR2_2	NCOR2_2	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_001077261,ENST00000404621
IGVFFI6734IWRB	NF1_2	NF1_2	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_001042492,ENST00000358273
IGVFFI6734IWRB	NF1_3	NF1_3	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_000267,ENST00000356175
IGVFFI6734IWRB	NKRF_2	NKRF_2	no_transcript	No supplied ENST and no GENCODE v43 RefSeq RNA cross-reference yielding a Catalog transcript.	NM_001173488.1	0.28158750705158
IGVFFI6734IWRB	NOTCH1_1	NOTCH1_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_017617,ENST00000277541
IGVFFI6734IWRB	NOTCH2_1	NOTCH2_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_024408.3
IGVFFI6734IWRB	NR2C2_2	NR2C2_2	no_transcript	No supplied ENST and no GENCODE v43 RefSeq RNA cross-reference yielding a Catalog transcript.	XM_011534061.2	-0.462270827605766
IGVFFI6734IWRB	NR2C2_4	NR2C2_4	no_transcript	No supplied ENST and no GENCODE v43 RefSeq RNA cross-reference yielding a Catalog transcript.	XM_011534061.2	-0.179496472606855
IGVFFI6734IWRB	PBRM1_3	PBRM1_3	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_018313,ENST00000394830
IGVFFI6734IWRB	PBRM1_4	PBRM1_4	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	XM_017006758,XM_017006757,ENST00000409057
IGVFFI6734IWRB	PBX3_5	PBX3_5	no_transcript	No supplied ENST and no GENCODE v43 RefSeq RNA cross-reference yielding a Catalog transcript.	XM_006717133.1	-0.0695985740936572
IGVFFI6734IWRB	POU2F1_4	POU2F1_4	no_transcript	No supplied ENST and no GENCODE v43 RefSeq RNA cross-reference yielding a Catalog transcript.	XM_011509654.2	-0.0702021665623169
IGVFFI6734IWRB	POU6F1_2	POU6F1_2	no_transcript	No supplied ENST and no GENCODE v43 RefSeq RNA cross-reference yielding a Catalog transcript.	XM_017019524.1	0.090114765926835
IGVFFI6734IWRB	RB1CC1_1	RB1CC1_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_001083617,XM_017014107,ENST00000435644
IGVFFI6734IWRB	RBAK_1	RBAK_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_021163.3
IGVFFI6734IWRB	SMARCA1_2	SMARCA1_2	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_001282874,ENST00000371121
IGVFFI6734IWRB	SMARCA2_4	SMARCA2_4	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_001289397,ENST00000450198
IGVFFI6734IWRB	SMARCA2_6	SMARCA2_6	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_003070,NM_001289396,ENST00000349721,ENST00000382203
IGVFFI6734IWRB	SMARCA4_4	SMARCA4_4	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	XM_006722845,XM_011528198,NM_001128849,XM_006722846,ENST00000450717
IGVFFI6734IWRB	SMARCA4_6	SMARCA4_6	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	XM_017027166,NM_001128846,ENST00000589677
IGVFFI6734IWRB	SP140_1	SP140_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_001278452,ENST00000343805
IGVFFI6734IWRB	SP140_2	SP140_2	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_007237,ENST00000392045
IGVFFI6734IWRB	SP140_5	SP140_5	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_001278451,ENST00000420434
IGVFFI6734IWRB	SP140L_3	SP140L_3	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_001308162,ENST00000243810
IGVFFI6734IWRB	SRCAP_1	SRCAP_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_006662,ENST00000262518
IGVFFI6734IWRB	STOX1_1	STOX1_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_152709,NM_001130161,ENST00000298596,ENST00000399169
IGVFFI6734IWRB	TADA2B_2	TADA2B_2	no_transcript	No supplied ENST and no GENCODE v43 RefSeq RNA cross-reference yielding a Catalog transcript.	XM_011513595.1	0.104889327868221
IGVFFI6734IWRB	TAF1_1	TAF1_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_138923,ENST00000373790
IGVFFI6734IWRB	TAF1_2	TAF1_2	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_001286074,ENST00000423759
